Treatment,SPL,Site
Post Lockdown,105.4353739,ST2NS
Post Lockdown,106.6862035,ST2NS
Post Lockdown,107.8253123,ST2NS
Post Lockdown,113.8295474,ST2NS
Post Lockdown,106.5243921,ST2NS
Post Lockdown,107.0268798,ST2NS
Post Lockdown,106.6730347,ST2NS
Post Lockdown,106.2416046,ST2NS
Post Lockdown,106.3118184,ST2NS
Post Lockdown,119.6199575,ST2NS
Post Lockdown,105.1271389,ST2NS
Post Lockdown,105.8473647,ST2NS
Post Lockdown,105.3907748,ST2NS
Post Lockdown,105.4209903,ST2NS
Post Lockdown,105.3734338,ST2NS
Post Lockdown,106.6289234,ST2NS
Post Lockdown,106.3632827,ST2NS
Post Lockdown,107.5050546,ST2NS
Post Lockdown,108.7716318,ST2NS
Post Lockdown,107.4326149,ST2NS
Post Lockdown,107.133723,ST2NS
Post Lockdown,106.8182205,ST2NS
Post Lockdown,106.890907,ST2NS
Post Lockdown,105.4324405,ST2NS
Post Lockdown,105.8553936,ST2NS
Post Lockdown,106.3693801,ST2NS
Post Lockdown,106.2648755,ST2NS
Post Lockdown,126.1264622,ST2NS
Post Lockdown,106.7538934,ST2NS
Post Lockdown,106.6754985,ST2NS
Post Lockdown,111.3883542,ST2NS
Post Lockdown,109.4743916,ST2NS
Post Lockdown,106.4461115,ST2NS
Post Lockdown,105.7159629,ST2NS
Post Lockdown,106.0233912,ST2NS
Post Lockdown,109.4279157,ST2NS
Post Lockdown,106.3851886,ST2NS
Post Lockdown,107.428796,ST2NS
Post Lockdown,109.1681674,ST2NS
Post Lockdown,107.6604391,ST2NS
Post Lockdown,106.5168267,ST2NS
Post Lockdown,107.9690408,ST2NS
Post Lockdown,107.2751786,ST2NS
Post Lockdown,106.5824696,ST2NS
Post Lockdown,106.274476,ST2NS
Post Lockdown,106.8304908,ST2NS
Post Lockdown,106.5629657,ST2NS
Post Lockdown,107.105259,ST2NS
Post Lockdown,106.646538,ST2NS
Post Lockdown,107.2528175,ST2NS
Post Lockdown,107.0974728,ST2NS
Post Lockdown,106.3402609,ST2NS
Post Lockdown,106.4875836,ST2NS
Post Lockdown,106.3933399,ST2NS
Post Lockdown,105.8161784,ST2NS
Post Lockdown,126.3376461,ST2NS
Post Lockdown,106.207335,ST2NS
Post Lockdown,117.5812899,ST2NS
Pre Lockdown,111.735807,ST3TM
Pre Lockdown,110.0528756,ST3TM
Pre Lockdown,115.6342208,ST3TM
Pre Lockdown,116.2682863,ST3TM
Pre Lockdown,120.0251479,ST3TM
Pre Lockdown,116.9481751,ST3TM
Pre Lockdown,121.0943482,ST3TM
Pre Lockdown,114.500182,ST3TM
Pre Lockdown,121.2727537,ST3TM
Pre Lockdown,111.6172871,ST3TM
Pre Lockdown,115.2881418,ST3TM
Pre Lockdown,116.898877,ST3TM
Pre Lockdown,115.56353,ST3TM
Pre Lockdown,121.0654045,ST3TM
Pre Lockdown,112.6532403,ST3TM
Pre Lockdown,123.0433494,ST3TM
Pre Lockdown,115.5549117,ST3TM
Pre Lockdown,117.8653499,ST3TM
Pre Lockdown,112.2325794,ST3TM
Pre Lockdown,114.2909054,ST3TM
Pre Lockdown,112.7583849,ST3TM
Pre Lockdown,110.9083893,ST3TM
Pre Lockdown,117.4511954,ST3TM
Pre Lockdown,117.8707324,ST3TM
Pre Lockdown,115.9232203,ST3TM
Pre Lockdown,119.7221292,ST3TM
Pre Lockdown,123.5754809,ST3TM
Pre Lockdown,119.6770858,ST3TM
Pre Lockdown,115.7813205,ST3TM
Pre Lockdown,118.7375482,ST3TM
Pre Lockdown,117.0660544,ST3TM
Pre Lockdown,117.9759651,ST3TM
Pre Lockdown,119.7798502,ST3TM
Pre Lockdown,118.1474042,ST3TM
Pre Lockdown,116.958118,ST3TM
Pre Lockdown,123.5946753,ST3TM
Pre Lockdown,122.2155481,ST3TM
Pre Lockdown,122.038316,ST3TM
Pre Lockdown,124.0675087,ST3TM
Pre Lockdown,124.2562978,ST3TM
Pre Lockdown,125.5513587,ST3TM
Pre Lockdown,122.4708246,ST3TM
Pre Lockdown,122.1837859,ST3TM
Pre Lockdown,120.3203834,ST3TM
Pre Lockdown,118.2007958,ST3TM
Pre Lockdown,121.1238795,ST3TM
Pre Lockdown,118.4778874,ST3TM
Pre Lockdown,116.2665263,ST3TM
Pre Lockdown,115.5076046,ST3TM
Pre Lockdown,114.1172173,ST3TM
Pre Lockdown,115.2777701,ST3TM
Pre Lockdown,121.9534635,ST3TM
Pre Lockdown,122.74882,ST3TM
Pre Lockdown,121.8482594,ST3TM
Pre Lockdown,126.8758682,ST3TM
Pre Lockdown,127.8216011,ST3TM
Pre Lockdown,127.0499954,ST3TM
Pre Lockdown,124.8873433,ST3TM
Pre Lockdown,122.3203275,ST3TM
Pre Lockdown,124.4364491,ST3TM
Pre Lockdown,124.1883749,ST3TM
Pre Lockdown,121.9930277,ST3TM
Pre Lockdown,117.0768798,ST3TM
Pre Lockdown,116.9513917,ST3TM
Pre Lockdown,115.9849924,ST3TM
Pre Lockdown,126.321443,ST3TM
Pre Lockdown,122.5192948,ST3TM
Pre Lockdown,125.9538972,ST3TM
Pre Lockdown,116.3904541,ST3TM
Pre Lockdown,120.1984736,ST3TM
Pre Lockdown,131.2765007,ST3TM
Pre Lockdown,117.2604141,ST3TM
Pre Lockdown,122.6037843,ST3TM
Pre Lockdown,111.8953766,ST3TM
Pre Lockdown,118.9341289,ST3TM
Pre Lockdown,117.9099084,ST3TM
Pre Lockdown,113.0654745,ST3TM
Pre Lockdown,113.2718819,ST3TM
Pre Lockdown,108.9141295,ST3TM
Pre Lockdown,112.4447129,ST3TM
Pre Lockdown,114.0024784,ST3TM
Pre Lockdown,120.0835534,ST3TM
Pre Lockdown,115.2618186,ST3TM
Pre Lockdown,114.3676316,ST3TM
Pre Lockdown,114.9842625,ST3TM
Pre Lockdown,118.3971232,ST3TM
Pre Lockdown,120.4686445,ST3TM
Pre Lockdown,110.0044015,ST3TM
Pre Lockdown,113.978541,ST3TM
Pre Lockdown,114.2206604,ST3TM
Pre Lockdown,118.7456929,ST3TM
Pre Lockdown,114.8473895,ST3TM
Pre Lockdown,112.5755554,ST3TM
Pre Lockdown,114.8423023,ST3TM
Pre Lockdown,111.2874478,ST3TM
Pre Lockdown,111.7171766,ST3TM
Pre Lockdown,113.7558163,ST3TM
Pre Lockdown,116.2985522,ST3TM
Pre Lockdown,117.5898563,ST3TM
Pre Lockdown,111.8379232,ST3TM
Pre Lockdown,116.3026288,ST3TM
Pre Lockdown,113.2059959,ST3TM
Pre Lockdown,110.7185661,ST3TM
Pre Lockdown,110.2839163,ST3TM
Pre Lockdown,114.6769245,ST3TM
Pre Lockdown,121.9487092,ST3TM
Pre Lockdown,113.8916432,ST3TM
Pre Lockdown,124.6608058,ST3TM
Pre Lockdown,116.7893319,ST3TM
Pre Lockdown,118.7807699,ST3TM
Pre Lockdown,115.7745541,ST3TM
Pre Lockdown,113.3854947,ST3TM
Pre Lockdown,120.4344036,ST3TM
Pre Lockdown,122.9894807,ST3TM
Pre Lockdown,116.0964669,ST3TM
Pre Lockdown,117.8186076,ST3TM
Pre Lockdown,116.4515696,ST3TM
Pre Lockdown,119.4343446,ST3TM
Pre Lockdown,115.3349513,ST3TM
Pre Lockdown,118.990736,ST3TM
Pre Lockdown,110.7562029,ST3TM
Pre Lockdown,114.3836347,ST3TM
Pre Lockdown,116.3269652,ST3TM
Pre Lockdown,116.0522178,ST3TM
Pre Lockdown,113.0042087,ST3TM
Pre Lockdown,115.6719389,ST3TM
Pre Lockdown,114.0910082,ST3TM
Pre Lockdown,115.9756529,ST3TM
Pre Lockdown,123.330096,ST3TM
Pre Lockdown,115.1084957,ST3TM
Pre Lockdown,116.6822306,ST3TM
Pre Lockdown,113.7411997,ST3TM
Pre Lockdown,113.2743815,ST3TM
Pre Lockdown,115.2738018,ST3TM
Pre Lockdown,121.876075,ST3TM
Pre Lockdown,112.031667,ST3TM
Pre Lockdown,111.7667657,ST3TM
Pre Lockdown,112.0136371,ST3TM
Pre Lockdown,118.2290966,ST3TM
Pre Lockdown,116.4784747,ST3TM
Pre Lockdown,117.9739608,ST3TM
Pre Lockdown,121.4158468,ST3TM
Pre Lockdown,124.8838176,ST3TM
Pre Lockdown,118.4671144,ST3TM
Pre Lockdown,125.2362269,ST3TM
Pre Lockdown,116.7415957,ST3TM
Pre Lockdown,116.2979326,ST3TM
