id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-14f-13,2014-06-05 11:00,06,20.82140836,-62.08545315,0.732447152,non-cov,f,2.32,-5041.599121,0,2014
ct105-14f-13,2014-06-06 11:00,06,20.41797388,-61.72809946,0.682481863,non-cov,f,2.32,-5159.810059,0,2014
ct105-14f-13,2014-06-20 11:00,06,20.7673911,-59.92890619,0.636128771,non-cov,f,2.32,-4931.749023,0,2014
ct105-14f-13,2014-07-06 11:00,07,16.74366476,-57.8890465,0.386931143,non-cov,f,2.32,-5359.586914,0,2014
ct105-14f-13,2014-06-02 11:00,06,21.36519234,-62.65563466,0.752469693,non-cov,f,2.32,-5172.388184,0,2014
ct105-14f-13,2014-05-13 11:00,05,31.63086195,-67.9530817,0.62937816,non-cov,f,2.32,-1476.760986,0,2014
ct105-14f-13,2014-06-15 11:00,06,20.39690526,-61.15837993,0.614507675,non-cov,f,2.32,-5303.476074,0,2014
ct105-14f-13,2014-06-19 11:00,06,20.89781527,-60.27999358,0.671573024,non-cov,f,2.32,-5339.300781,0,2014
ct105-14f-13,2014-06-10 11:00,06,20.60537689,-61.22997775,0.551877904,non-cov,f,2.32,-5270.437012,0,2014
ct105-14f-13,2014-05-29 11:00,05,24.11553082,-63.80711215,0.833223276,non-cov,f,2.32,-5089.410156,0,2014
ct105-14f-13,2014-07-08 11:00,07,16.47262888,-57.86231997,0.350986498,non-cov,f,2.32,-5616.236816,0,2014
ct105-14f-13,2014-06-04 11:00,06,20.88103229,-62.30430256,0.744579995,non-cov,f,2.32,-5104.166992,0,2014
ct105-14f-13,2014-06-21 11:00,06,20.83703631,-59.82221037,0.646179589,non-cov,f,2.32,-4905.744141,0,2014
ct105-14f-13,2014-05-16 11:00,05,30.4294207,-66.98682914,0.695627202,non-cov,f,2.32,-3986.206055,0,2014
ct105-14f-13,2014-06-12 11:00,06,20.36436741,-61.13983475,0.554091821,non-cov,f,2.32,-5298.028809,0,2014
ct105-14f-13,2014-06-22 11:00,06,20.81970081,-59.53193229,0.63312442,non-cov,f,2.32,-5485.716797,0,2014
ct105-14f-13,2014-05-18 11:00,05,30.21107788,-66.72997941,0.744258668,non-cov,f,2.32,-4154.532227,0,2014
ct105-14f-13,2014-05-30 11:00,05,23.63232212,-63.53176505,0.833168481,non-cov,f,2.32,-5069.270996,0,2014
ct105-14f-13,2014-05-28 11:00,05,24.9952686,-64.17566583,0.852837057,non-cov,f,2.32,-5100.027832,0,2014
ct105-14f-13,2014-06-14 11:00,06,20.4342465,-61.24239998,0.584350373,non-cov,f,2.32,-5266.563965,0,2014
ct105-14f-13,2014-07-09 11:00,07,16.42431847,-57.85356969,0.341342525,non-cov,f,2.32,-5578.632813,0,2014
ct105-14f-13,2014-07-01 11:00,07,17.54731004,-58.16793166,0.574158976,non-cov,f,2.32,-4983.312988,0,2014
ct105-14f-13,2014-06-08 11:00,06,20.56028441,-61.26002423,0.569182924,non-cov,f,2.32,-5235.948242,0,2014
ct105-14f-13,2014-05-17 11:00,05,30.42699987,-66.80885008,0.717199963,non-cov,f,2.32,-4095.729004,0,2014
ct105-14f-13,2014-05-22 11:00,05,29.77225062,-65.61464399,0.836253521,non-cov,f,2.32,-4818.469238,0,2014
ct105-14f-13,2014-06-23 11:00,06,20.32096273,-59.2306946,0.581461268,non-cov,f,2.32,-5194.206055,0,2014
ct105-14f-13,2014-06-01 11:00,06,21.77795878,-62.78861431,0.747809398,non-cov,f,2.32,-5127.48584,0,2014
ct105-14f-13,2014-06-03 11:00,06,20.98952804,-62.46916099,0.745795266,non-cov,f,2.32,-5211.936035,0,2014
ct105-14f-13,2014-05-27 11:00,05,26.14755835,-64.28663761,0.868609486,non-cov,f,2.32,-5049.37793,0,2014
ct105-14f-13,2014-07-04 11:00,07,16.71341586,-57.8965761,0.435027289,non-cov,f,2.32,-5408.990234,0,2014
ct105-14f-13,2014-07-05 11:00,07,16.95171298,-57.94878167,0.400423591,non-cov,f,2.32,-5567.307129,0,2014
ct105-14f-13,2014-07-03 11:00,07,16.67426548,-57.96052428,0.474294399,non-cov,f,2.32,-5564.062012,0,2014
ct105-14f-13,2014-07-10 11:00,07,16.43823854,-57.79947443,0.331677868,non-cov,f,2.32,-5547.152832,0,2014
ct105-14f-13,2014-05-20 11:00,05,30.23924386,-66.51107717,0.811596896,non-cov,f,2.32,-4267.851074,0,2014
ct105-14f-13,2014-06-09 11:00,06,20.61401653,-61.18427841,0.556403443,non-cov,f,2.32,-5343.780762,0,2014
ct105-14f-13,2014-06-30 11:00,06,17.91852551,-58.37567533,0.588562969,non-cov,f,2.32,-4990.172852,0,2014
ct105-14f-13,2014-06-29 11:00,06,18.39359392,-58.45842196,0.578229198,non-cov,f,2.32,-5054.265137,0,2014
ct105-14f-13,2014-05-26 11:00,05,27.13725638,-64.33071582,0.868426911,non-cov,f,2.32,-5037.442871,0,2014
ct105-14f-13,2014-05-31 11:00,05,22.46120805,-63.15965144,0.786739954,non-cov,f,2.32,-5083.123047,0,2014
ct105-14f-13,2014-05-25 11:00,05,27.86412367,-64.4761492,0.857925128,non-cov,f,2.32,-5041.896973,0,2014
ct105-14f-13,2014-06-28 11:00,06,19.2215165,-58.66988567,0.578135432,non-cov,f,2.32,-4587.748047,0,2014
ct105-14f-13,2014-07-02 11:00,07,17.05365694,-58.03021238,0.531046867,non-cov,f,2.32,-5621.828125,0,2014
ct105-14f-13,2014-05-19 11:00,05,30.40883755,-66.62852142,0.777250988,non-cov,f,2.32,-4179.782227,0,2014
ct105-14f-13,2014-05-24 11:00,05,28.60471626,-64.7927914,0.854657347,non-cov,f,2.32,-5011.59082,0,2014
ct105-14f-13,2014-05-23 11:00,05,29.12304721,-65.26207432,0.854057521,non-cov,f,2.32,-4900.845215,0,2014
