"MRGID","TERRITORY1","SOVEREIGN1","ISO_SOV1","n","int","beta","change","t_after","p_after"
8322,"Philippines","Philippines","PHL",3112,4.27778570769526,-0.116039799717452,-10.9560216659558,-2.62621396614933,0.00865520213034389
8323,"Australia","Australia","AUS",11554,2.98668593943584,-0.113927469454482,-10.767732581431,-3.87790045424916,0.000105653442838849
8324,"Papua New Guinea","Papua New Guinea","PNG",3628,3.52636863147251,-0.107422672264759,-10.1854028640514,-1.93255999757224,0.0533293070125825
8325,"Fiji","Fiji","FJI",1955,1.81468311020605,-0.268046097830476,-23.5127478673653,-5.47422956817388,4.67023274943327e-08
8326,"Tuvalu","Tuvalu","TUV",1105,1.35106566929869,-0.0784620499704866,-7.54628545222428,-1.89986412713505,0.0575811247424827
8327,"South Korea","South Korea","KOR",758,5.61266577738282,-0.193287258674788,-17.5754831446312,-3.01428716402565,0.00261865316228157
8328,"North Korea","North Korea","PRK",312,3.27095727012171,-0.122311345281048,-11.5127175368065,-1.07393513235943,0.28326819701719
8331,"Cambodia","Cambodia","KHM",100,3.61307774082799,0.0545780775781381,5.60949305292337,0.365641720203347,0.715022766118301
8332,"Thailand","Thailand","THA",530,4.01814926556476,-0.076677374175518,-7.38113822241787,-0.720269226785489,0.471518341898128
8333,"Andaman and Nicobar","India","IND",996,4.10572533794906,-0.0554431775744806,-5.39342201045449,-0.404513058959416,0.685878949051372
8334,"Comores","Comores","COM",278,3.00717732540642,-0.222743565803068,-19.967994758719,-2.22019377743117,0.0268095140558858
8337,"Seychelles","Seychelles","SYC",1927,2.52976821684377,0.268088850780367,30.746330398909,8.09744380052483,7.45806462313098e-16
8338,"Réunion","France","FRA",518,4.17930536118011,-0.0272627052198815,-2.68944319697903,-0.437817485675646,0.661610032802664
8339,"Juan de Nova Island","France","FRA",118,2.634811038734,0.49699177398531,64.3768996996529,3.96160767666259,9.88685828128066e-05
8340,"Bassas da India","France","FRA",215,3.1964875320368,0.179113728218606,19.6156773211558,1.23163705842957,0.218760961701174
8341,"Europa Island","France","FRA",235,1.17767251714036,-0.521365901969578,-40.6290954474671,-5.51388172569066,5.8127397502284e-08
8343,"Republic of Mauritius","Republic of Mauritius","MUS",1928,3.57419716000281,-0.0360079175866145,-3.53673441097166,-0.858893201688497,0.390452855995256
8345,"Maldives","Maldives","MDV",1325,2.76662759373915,0.0770524256823618,8.00986998196828,1.23972560880733,0.215186754891231
8346,"Sri Lanka","Sri Lanka","LKA",838,4.97011986898831,0.00582350277316412,0.584049232900269,0.0545543071712974,0.956500051873446
8347,"Mozambique","Mozambique","MOZ",990,3.344288491056,-0.0432277325750008,-4.23067327226771,-0.684355238373052,0.493831045888706
8348,"Madagascar","Madagascar","MDG",2072,3.55201930615542,-0.00893588963970206,-0.889608323466338,-0.161042368127999,0.872067885070914
8349,"Kenya","Kenya","KEN",205,3.43712939107234,-0.208931299725169,-18.8549019366077,-2.04737092719772,0.0412616091276738
8350,"Federal Republic of Somalia","Federal Republic of Somalia","SOM",1214,3.12342396084225,0.279721001364886,32.2760712417297,2.33558007242476,0.0195942414869475
