UniqueCode,COUNTY.WEEK,WEEK,County,CountyGeolocation,Country,CountryGeolocation,Population_Estimate,Population_Density,Home,Parks,Work,Retail,Grocery,Transit,SPECIES,SPP.2020.OBSERVATION.COUNT,SPP.2019.OBSERVATION.COUNT,SPP.DIFF.COUNT,SPP.DIFF.DURATION,SPP.DIFF.DISTANCE,2020.DURATION.MINUTES,2020.EFFORT.DISTANCE.KM,2019.DURATION.MINUTES,2019.EFFORT.DISTANCE.KM
Bedfordshire 5BlueTit,Bedfordshire 5,5,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,28.4,-23.33333333,-61.42857143,-79.42857143,-33.14285714,-69.71428571,BlueTit,3.2,3.111111111,0.09,-16.12,-1.39,10.1,0.2439,26.22222222,1.629222222
Bedfordshire 6BlueTit,Bedfordshire 6,6,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,28.8,-9.5,-64.28571429,-77.28571429,-28.85714286,-65.85714286,BlueTit,1.333333333,4.222222222,-2.89,-37.44,-2.04,16.55555556,0,54,2.036555556
Bedfordshire 7BlueTit,Bedfordshire 7,7,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,29.2,-23.75,-64.57142857,-78.71428571,-36.85714286,-67.28571429,BlueTit,2,6.5,-4.5,-3.33,-0.11,30.16666667,0.879833333,33.5,0.9875
Bedfordshire 8BlueTit,Bedfordshire 8,8,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,27,7.8,-58.42857143,-75.42857143,-28.85714286,-60.57142857,BlueTit,1.333333333,2.222222222,-0.89,-13,-2.19,46.66666667,1,59.66666667,3.185333333
Bedfordshire 9BlueTit,Bedfordshire 9,9,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,27,-23,-58.4,-75.4,-30.2,-63.2,BlueTit,3.142857143,2.4,0.74,34.86,0.09,78.85714286,1.865428571,44,1.7758
Berkshire 1BlueTit,Berkshire 1,1,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,0.705882353,0.857142857,-0.261904762,1.095238095,4.785714286,-2.785714286,BlueTit,4.5,4.7,-0.2,51.77,1.33,80.57142857,1.8195,28.8,0.4893
Berkshire 2BlueTit,Berkshire 2,2,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,2.264705882,1.090909091,-2.666666667,-2.904761905,9,-9.738095238,BlueTit,3.642857143,12.71428571,-9.07,-39.21,-0.16,43.64285714,0.962142857,82.85714286,1.126428571
Berkshire 3BlueTit,Berkshire 3,3,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,12.3125,-9.625,-24.9047619,-22.23809524,19.57142857,-37.38095238,BlueTit,4.555555556,5.076923077,-0.52,-9.96,-0.11,34.88888889,1.012111111,44.84615385,1.122153846
Berkshire 4BlueTit,Berkshire 4,4,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,28.10344828,-13.84375,-60.23809524,-67.83333333,-23.73809524,-68.21428571,BlueTit,3.461538462,7.111111111,-3.65,-32.84,-2.05,46.26923077,0.381230769,79.11111111,2.4335
Berkshire 5BlueTit,Berkshire 5,5,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,31.25,-25.05882353,-69.71428571,-77.45238095,-34.5,-76.35714286,BlueTit,5.407407407,3.277777778,2.13,80.44,0.14,115.7777778,0.939740741,35.33333333,0.799944444
Berkshire 6BlueTit,Berkshire 6,6,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,30.75,-13.24242424,-71.5,-76.33333333,-31.28571429,-74.97619048,BlueTit,3.709677419,3.823529412,-0.11,8.87,-0.29,74.80645161,0.911580645,65.94117647,1.198058824
Berkshire 7BlueTit,Berkshire 7,7,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,31.33333333,-19.57575758,-71.47619048,-77.73809524,-37.9047619,-75.21428571,BlueTit,3.344827586,5.166666667,-1.82,0.42,-1.22,75.5862069,0.863517241,75.16666667,2.088083333
Berkshire 8BlueTit,Berkshire 8,8,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,30.36666667,-2.740740741,-66.42857143,-74.19047619,-32.04761905,-70.73809524,BlueTit,4.103448276,3.392857143,0.71,12.61,-0.41,69,0.916758621,56.39285714,1.329321429
Berkshire 9BlueTit,Berkshire 9,9,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,30.33333333,-19.83333333,-67.73333333,-74.76666667,-34.13333333,-72.16666667,BlueTit,2.142857143,1.875,0.27,-0.27,-0.24,37.85714286,0.571428571,38.125,0.813375
Bridgend 4BlueTit,Bridgend 4,4,Bridgend,"51.5072, -3.5784",Wales,"52.325066, -3.7999659",144876,577.8,21.8,-0.75,-50.14285714,-65,-24.42857143,-48.85714286,BlueTit,1,1.666666667,-0.67,127.67,15.76,201,18.175,73.33333333,2.414
Bristol 2BlueTit,Bristol 2,2,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,1.142857143,4.857142857,-0.285714286,-5.714285714,5.142857143,-3.571428571,BlueTit,3,3.5,-0.5,-56.5,1.2,21,3.216,77.5,2.0115
Bristol 3BlueTit,Bristol 3,3,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,11.14285714,6.142857143,-25.71428571,-35.14285714,10.28571429,-38,BlueTit,1.5,2,-0.5,16.67,0.14,31.66666667,0.144833333,15,0
Bristol 4BlueTit,Bristol 4,4,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,25.14285714,8,-61.28571429,-75.85714286,-29.14285714,-72.42857143,BlueTit,6,2,4,-7.5,0.23,25,1.032,32.5,0.8045
Bristol 6BlueTit,Bristol 6,6,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,28.71428571,10,-71.14285714,-82,-33.42857143,-79.71428571,BlueTit,4.8,2,2.8,-77,-1.79,41,1.7392,118,3.532
Bristol 7BlueTit,Bristol 7,7,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,29.42857143,-0.571428571,-71,-83.42857143,-39.85714286,-81,BlueTit,6.25,2,4.25,33,2.4,53,2.40125,20,0
Bristol 8BlueTit,Bristol 8,8,Bristol,"51.45379, -2.59168",England,"52.598877, -1.4668814",463405,4228,27.42857143,28.71428571,-66.71428571,-79.85714286,-34.57142857,-78.28571429,BlueTit,7,3.5,3.5,223,-1.28,298,2.913,75,4.1925
Buckinghamshire 1BlueTit,Buckinghamshire 1,1,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,0.142857143,3.857142857,0.428571429,1.857142857,3.857142857,0.714285714,BlueTit,3.173913043,3.583333333,-0.41,-27.28,-0.41,17.2173913,0.96673913,44.5,1.373083333
Buckinghamshire 2BlueTit,Buckinghamshire 2,2,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,1.571428571,4.285714286,-2,0.142857143,7.428571429,-7.142857143,BlueTit,2.866666667,2.714285714,0.15,-45.81,-0.44,25.33333333,1.424133333,71.14285714,1.869
Buckinghamshire 3BlueTit,Buckinghamshire 3,3,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,10.42857143,5.285714286,-21.71428571,-19,19.57142857,-32.71428571,BlueTit,3.243902439,4.833333333,-1.59,-10.8,0.22,28.53658537,1.492804878,39.33333333,1.272083333
Buckinghamshire 4BlueTit,Buckinghamshire 4,4,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,23.85714286,-2,-58.42857143,-65,-22.28571429,-60.71428571,BlueTit,4.049180328,4.461538462,-0.41,-93.57,-0.48,33.50819672,1.606196721,127.0769231,2.085769231
Buckinghamshire 5BlueTit,Buckinghamshire 5,5,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,27.28571429,-22.28571429,-68.42857143,-75.14285714,-33.42857143,-71.42857143,BlueTit,3.926470588,4.705882353,-0.78,-60.47,-0.48,36.35294118,1.721294118,96.82352941,2.201294118
Buckinghamshire 6BlueTit,Buckinghamshire 6,6,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,27.57142857,-10.71428571,-70.71428571,-73.57142857,-29.85714286,-68.85714286,BlueTit,3.495049505,5.923076923,-2.43,-18.81,-0.07,29.88118812,1.715277228,48.69230769,1.782076923
Buckinghamshire 7BlueTit,Buckinghamshire 7,7,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,27.71428571,-13.28571429,-70.28571429,-75,-36.57142857,-69.28571429,BlueTit,3.081081081,4.4375,-1.36,-19.27,-0.59,27.22972973,1.152878378,46.5,1.7475
Buckinghamshire 8BlueTit,Buckinghamshire 8,8,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,26.14285714,8,-65,-71.57142857,-31,-64.14285714,BlueTit,3.141414141,4.5,-1.36,-51.11,-1.11,30.76767677,1.398616162,81.875,2.5104375
Buckinghamshire 9BlueTit,Buckinghamshire 9,9,Buckinghamshire,"51.835045, -0.799342",England,"52.598877, -1.4668814",540059,345.1,26.4,-16.6,-66.2,-72,-32.8,-66.8,BlueTit,2.857142857,2.857142857,0,-10.29,0.22,40.71428571,2.010285714,51,1.793285714
Caerphilly 1BlueTit,Caerphilly 1,1,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,0,-3.75,1.142857143,6.571428571,3,-2.857142857,BlueTit,1.5,1.2,0.3,0.1,0,4.5,0,4.4,0
Caerphilly 2BlueTit,Caerphilly 2,2,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,1.142857143,-7.8,-1.285714286,0.857142857,7.285714286,-6.285714286,BlueTit,1.333333333,1,0.33,1,0,4,0,3,0
Caerphilly 3BlueTit,Caerphilly 3,3,Caerphilly,"51.57658, -3.21771",Wales,"52.325066, -3.7999659",181019,652.4,7.833333333,-18.5,-15.42857143,-14.28571429,14.42857143,-25.42857143,BlueTit,1,1,0,-9.5,0,3.5,0,13,0
