abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
0,7,0,2,bc,BC13,BTP,no,3,97,b,0,1,0,0,1
0,2,0,4,bc,BC14,BTP,no,3,35,b,2,2,0,0,4
9,2,0,0,bc,BC15,BTP,no,3,43,b,0,1,0,0,1
61,6,0,0,bc,BC16,BTP,no,3,21,b,1,0,0,0,1
5,5,0,0,bc,BC2,PRPG,no,3,25,b,0,2,0,0,2
26,7,0,0,bc,BC21,JB,no,3,79,b,0,0,0,0,0
2,16,0,0,bc,BC22,ECFS,no,3,211,b,0,1,0,0,1
3,6,0,0,bc,BC23,ECFS,no,3,167,b,0,0,0,0,0
6,2,0,0,bc,BC24,ECFS,no,3,101,b,0,1,0,0,1
0,2,0,0,bc,BC25,ECFS,no,3,186,b,0,4,0,0,4
0,6,1,9,bc,BC26,ECFS,no,3,90,b,3,0,0,1,4
5,8,0,1,bc,BC27,TP,no,3,115,b,0,1,0,0,1
14,9,0,1,bc,BC32,NS,no,3,151,b,1,6,0,0,7
0,11,0,5,bc,BC33,NS,no,3,119,b,0,1,0,0,1
1,7,0,0,bc,BC34,NS,no,3,148,b,0,0,0,0,0
2,8,0,3,bc,BC35,NS,no,3,80,b,0,2,0,0,2
10,12,1,0,bc,BC36,NS,no,3,30,b,0,4,0,0,4
1,4,0,2,bc,BC46,CCK,no,3,155,b,0,1,0,0,1
0,4,0,0,bc,BC47,CCK,no,3,190,b,0,4,0,0,4
0,3,0,0,bc,BC48,CCK,no,3,134,b,0,0,0,0,0
0,7,0,0,bc,BC49,CCK,no,3,65,b,0,0,0,0,0
4,7,0,0,bc,BC50,CCK,no,3,100,b,2,3,0,0,5
4,6,0,0,bc,BC9,T,no,3,101,b,0,0,0,0,0
0,2,0,0,bc,BC1,PRPG,no,7,105,b,0,6,0,0,6
0,9,0,0,bc,BC3,PRPG,no,7,55,b,0,3,0,0,3
14,7,0,1,bc,BC4,PRPG,no,7,175,b,0,0,0,0,0
0,2,0,0,bc,BC5,PRPG,no,7,20,b,2,3,0,0,5
1,10,0,0,bc,BC6,PRPG,no,7,140,b,0,4,0,0,4
0,3,0,0,fh,MF21,JB,no,7,95,b,0,5,0,0,5
36,6,0,2,fh,MF23,BTP,no,7,124,b,0,0,0,0,0
5,4,0,0,fh,MF27,BTP,no,7,85,b,0,9,0,0,9
4,1,0,2,fh,MF29,JB,no,7,47,b,1,2,0,0,3
26,12,0,0,fh,MF31,JB,no,7,64,b,1,4,0,0,5
41,3,0,0,fh,MF32,JB,no,7,183,b,0,9,0,0,9
7,2,0,0,fh,MF34,JB,no,7,40,b,0,0,0,0,0
15,2,0,0,fh,MF43,BTP,no,7,66,b,1,4,0,0,5
0,2,0,0,fh,MF8,JB,no,7,157,b,0,1,0,0,1
6,6,0,0,fh,MF9,BTP,no,7,27,b,1,0,0,0,1
8,4,0,0,fh,MF1,SMYT,no,8,82,b,0,0,0,0,0
6,8,0,0,fh,MF10,CCK,no,8,182,b,0,2,0,0,2
12,14,0,0,fh,MF11,MP,no,8,220,b,0,0,0,0,0
1,7,0,0,fh,MF12,CCK,no,8,120,b,0,3,0,0,3
0,5,0,0,fh,MF13,HBP,no,8,105,b,0,0,0,0,0
1,9,0,0,fh,MF14,WC,no,8,192,b,0,0,0,0,0
5,0,0,0,fh,MF15,PRPG,no,8,72,b,0,0,0,0,0
11,6,1,0,fh,MF16,ECFS,no,8,161,b,0,0,0,1,1
26,8,0,0,fh,MF17,JB,no,8,60,b,0,1,0,0,1
27,7,0,0,fh,MF18,AH,no,8,48,b,0,1,1,0,2
52,5,0,0,fh,MF19,AMK,no,8,17,b,0,1,0,0,1
53,11,0,0,fh,MF2,MP,no,8,138,b,0,0,0,1,1
0,4,0,0,fh,MF20,AH,no,8,85,b,1,3,0,0,4
15,8,0,1,fh,MF22,TP,no,8,35,b,3,0,0,1,4
7,0,0,1,fh,MF24,MP,no,8,67,b,2,8,8,0,18
2,3,0,0,fh,MF25,JC,no,8,102,b,0,1,0,0,1
16,8,0,0,fh,MF26,WC,no,8,102,b,3,1,0,0,4
12,8,0,0,fh,MF28,JB,no,8,30,b,2,0,0,0,2
110,20,0,4,fh,MF3,HBP,no,8,220,b,10,0,0,1,11
20,7,0,0,fh,MF30,MP,no,8,145,b,0,0,0,0,0
7,13,2,0,fh,MF33,MP,no,8,109,b,0,0,0,1,1
4,0,0,1,fh,MF35,TP,no,8,200,b,0,0,0,0,0
